question_id	question_class	question_zh	scope	sender_groups	receiver_groups	condition_split	contrast_axis	tools_to_run	priority	status	depends_on	notes	activation_policy	min_sender_cells	min_receiver_cells	min_cells_per_condition	fallback_pair_id	derived_from_pair_id	display_question_id	output_alias	report_title	run_baseline_if_split_fails
A01_panorama_marker	marker	panorama大类identity marker(GC vs TC)	panorama	*	*	-	identity_marker	deg+enrichment	P0	active		注释完成后的cell_type identity marker; raw cluster marker evidence由03/04 annotation输出	always									no
A02_GC_subtype_marker	marker	GC 4亚群identity marker	GC_subcluster	*	*	-	identity_marker	deg+enrichment	P0	active		注释完成后的cell_subtype identity marker; pGC/eGC/rgGC/lGC each vs rest	always									no
A03_TC_subtype_marker	marker	TC亚群identity marker	TC_subcluster	*	*	-	identity_marker	deg+enrichment	P0	planned		等TC注释	always									no
A04_ST_region_marker	marker	ST region identity marker	ST_section	*	*	-	identity_marker	deg+enrichment	P0	planned		等ST	always									no
B01_GC_vs_TC	deg	GC vs TC整体差异	panorama	[GC]	[TC]	-	directional_DEG	deg+enrichment	P0	active		whole_layer	always									no
B02_GC_subtypes_pairwise	deg	GC 4亚群pairwise(6对)	GC_subcluster	[pGC,eGC,rgGC,lGC]	*	-	pairwise	deg+enrichment	P1	active		C(4,2)=6	always									no
B03_TC_subtypes_pairwise	deg	TC亚群pairwise	TC_subcluster	[TC_*]	*	-	pairwise	deg+enrichment	P1	planned		等TC	always									no
C01_GC_vs_TC_in_syf	deg	syf内GC vs TC	panorama	[GC]	[TC]	syf_only	directional_DEG	deg+enrichment	P0	active			always									no
C02_GC_vs_TC_in_f5	deg	f5内GC vs TC	panorama	[GC]	[TC]	f5_only	directional_DEG	deg+enrichment	P0	active			always									no
C03_GC_subtypes_pairwise_syf	deg	GC亚群pairwise in syf	GC_subcluster	[pGC,eGC,rgGC,lGC]	*	syf_only	pairwise	deg+enrichment	P1	active			always									no
C04_GC_subtypes_pairwise_f5	deg	GC亚群pairwise in f5	GC_subcluster	[pGC,eGC,rgGC,lGC]	*	f5_only	pairwise	deg+enrichment	P1	active			always									no
C05_TC_subtypes_pairwise_syf	deg	TC亚群pairwise in syf	TC_subcluster	[TC_*]	*	syf_only	pairwise	deg+enrichment	P1	planned		等TC	always									no
C06_TC_subtypes_pairwise_f5	deg	TC亚群pairwise in f5	TC_subcluster	[TC_*]	*	f5_only	pairwise	deg+enrichment	P1	planned		等TC	always									no
D01_GC_stage_DEG	deg	GC大类syf vs f5	panorama	[GC]	-	group_id:syf,f5	contrast_only	deg+enrichment	P0	active		pseudobulk优先	always									no
D02_TC_stage_DEG	deg	TC大类syf vs f5	panorama	[TC]	-	group_id:syf,f5	contrast_only	deg+enrichment	P0	active		pseudobulk优先	always									no
