# AUTO-GENERATED. Edit metadata/analysis_questions.tsv instead.
pair_id	source_question_id	layer_scope	sender	receiver	condition_split_var	condition_split_values	tool	communication_mode	receiver_gene_program_source	baseline_marker_comparison_id	receiver_deg_comparison_id	direction_filter	requires_cell_subtype	enabled	notes
F01_TC_GC_bidir_baseline__TC_to_GC	F01_TC_GC_bidir_baseline	panorama	TC	pGC,eGC,rgGC,lGC			both	baseline	receiver_marker	A01_panorama_marker__GC_vs_rest		yes	yes	yes	TC->GC baseline; GC represented by GC subtypes via M5
F01_TC_GC_bidir_baseline__GC_to_TC	F01_TC_GC_bidir_baseline	panorama	pGC,eGC,rgGC,lGC	TC			both	baseline	receiver_marker	A01_panorama_marker__TC_vs_rest		yes	yes	yes	GC->TC baseline; GC represented by GC subtypes via M5
F02_TC_GC_bidir_split__TC_to_GC	F02_TC_GC_bidir_split	panorama	TC	pGC,eGC,rgGC,lGC	group_id	syf,f5	both	condition_split	condition_deg	A01_panorama_marker__GC_vs_rest	D01_GC_stage_DEG__GC_syf_vs_f5	yes	yes	yes	TC->GC split; GC represented by GC subtypes via M5
F02_TC_GC_bidir_split__GC_to_TC	F02_TC_GC_bidir_split	panorama	pGC,eGC,rgGC,lGC	TC	group_id	syf,f5	both	condition_split	condition_deg	A01_panorama_marker__TC_vs_rest	D02_TC_stage_DEG__TC_syf_vs_f5	yes	yes	yes	GC->TC split; GC represented by GC subtypes via M5
F03_TC_to_GC_each_baseline__TC_to_pGC	F03_TC_to_GC_each_baseline	panorama	TC	pGC			cellchat	baseline	receiver_marker	A02_GC_subtype_marker__pGC_vs_rest		yes	yes	yes	
F03_TC_to_GC_each_baseline__TC_to_eGC	F03_TC_to_GC_each_baseline	panorama	TC	eGC			cellchat	baseline	receiver_marker	A02_GC_subtype_marker__eGC_vs_rest		yes	yes	yes	
F03_TC_to_GC_each_baseline__TC_to_rgGC	F03_TC_to_GC_each_baseline	panorama	TC	rgGC			cellchat	baseline	receiver_marker	A02_GC_subtype_marker__rgGC_vs_rest		yes	yes	yes	
F03_TC_to_GC_each_baseline__TC_to_lGC	F03_TC_to_GC_each_baseline	panorama	TC	lGC			cellchat	baseline	receiver_marker	A02_GC_subtype_marker__lGC_vs_rest		yes	yes	yes	
F04_TC_to_GC_each_split__TC_to_pGC	F04_TC_to_GC_each_split	panorama	TC	pGC	group_id	syf,f5	both	condition_split	condition_deg	A02_GC_subtype_marker__pGC_vs_rest	D03_GC_subtype_stage_DEG__pGC_syf_vs_f5	yes	yes	yes	核心
F04_TC_to_GC_each_split__TC_to_eGC	F04_TC_to_GC_each_split	panorama	TC	eGC	group_id	syf,f5	both	condition_split	condition_deg	A02_GC_subtype_marker__eGC_vs_rest	D03_GC_subtype_stage_DEG__eGC_syf_vs_f5	yes	yes	yes	
F04_TC_to_GC_each_split__TC_to_rgGC	F04_TC_to_GC_each_split	panorama	TC	rgGC	group_id	syf,f5	both	condition_split	condition_deg	A02_GC_subtype_marker__rgGC_vs_rest	D03_GC_subtype_stage_DEG__rgGC_syf_vs_f5	yes	yes	yes	
F04_TC_to_GC_each_split__TC_to_lGC	F04_TC_to_GC_each_split	panorama	TC	lGC	group_id	syf,f5	both	condition_split	condition_deg	A02_GC_subtype_marker__lGC_vs_rest	D03_GC_subtype_stage_DEG__lGC_syf_vs_f5	yes	yes	yes	
F05_GC_each_to_TC_baseline__pGC_to_TC	F05_GC_each_to_TC_baseline	panorama	pGC	TC			cellchat	baseline	receiver_marker	A01_panorama_marker__TC_vs_rest		yes	yes	yes	反向
