# AUTO-GENERATED. Edit metadata/analysis_questions.tsv instead.
comparison_id	source_question_id	display_question_id	output_alias	report_title	layer_scope	contrast_axis	analysis_mode	analysis_unit	stat_level	group_var	ident_1	ident_2	subset_column	subset_value	aggregation_group_var	composition_group_var	batch_var	enabled	min_biological_replicates	force_exploratory	min_cells_per_group	logfc_threshold	produces_gene_program	gene_program_role	notes	min_cells_override	min_samples_override	total_umi_override	single_sample_frac_override
A01_panorama_marker__GC_vs_rest	A01_panorama_marker	A01_panorama_marker	A01_panorama_marker	panorama大类identity marker(GC vs TC)	panorama	identity_marker	subtype_marker	whole_layer	cell_level_exploratory	cell_type	GC	__rest__					batch	yes	2	no	3	0	yes	receiver_marker	post-annotation broad cell-type identity marker; not raw cluster annotation evidence	-	-	-	-
A01_panorama_marker__TC_vs_rest	A01_panorama_marker	A01_panorama_marker	A01_panorama_marker	panorama大类identity marker(GC vs TC)	panorama	identity_marker	subtype_marker	whole_layer	cell_level_exploratory	cell_type	TC	__rest__					batch	yes	2	no	3	0	yes	receiver_marker	post-annotation broad cell-type identity marker; not raw cluster annotation evidence	-	-	-	-
A02_GC_subtype_marker__pGC_vs_rest	A02_GC_subtype_marker	A02_GC_subtype_marker	A02_GC_subtype_marker	GC 4亚群identity marker	GC_subcluster	identity_marker	subtype_marker	whole_layer	cell_level_exploratory	cell_subtype	pGC	__rest__					batch	yes	2	no	3	0	yes	receiver_marker	post-annotation subtype identity marker; not raw cluster annotation evidence	-	-	-	-
A02_GC_subtype_marker__eGC_vs_rest	A02_GC_subtype_marker	A02_GC_subtype_marker	A02_GC_subtype_marker	GC 4亚群identity marker	GC_subcluster	identity_marker	subtype_marker	whole_layer	cell_level_exploratory	cell_subtype	eGC	__rest__					batch	yes	2	no	3	0	yes	receiver_marker	post-annotation subtype identity marker; not raw cluster annotation evidence	-	-	-	-
A02_GC_subtype_marker__rgGC_vs_rest	A02_GC_subtype_marker	A02_GC_subtype_marker	A02_GC_subtype_marker	GC 4亚群identity marker	GC_subcluster	identity_marker	subtype_marker	whole_layer	cell_level_exploratory	cell_subtype	rgGC	__rest__					batch	yes	2	no	3	0	yes	receiver_marker	post-annotation subtype identity marker; not raw cluster annotation evidence	-	-	-	-
A02_GC_subtype_marker__lGC_vs_rest	A02_GC_subtype_marker	A02_GC_subtype_marker	A02_GC_subtype_marker	GC 4亚群identity marker	GC_subcluster	identity_marker	subtype_marker	whole_layer	cell_level_exploratory	cell_subtype	lGC	__rest__					batch	yes	2	no	3	0	yes	receiver_marker	post-annotation subtype identity marker; not raw cluster annotation evidence	-	-	-	-
B01_GC_vs_TC__GC_vs_TC	B01_GC_vs_TC	B01_GC_vs_TC	B01_GC_vs_TC	GC vs TC整体差异	panorama	directional_DEG	subtype_pairwise	whole_layer	cell_level_exploratory	cell_type	GC	TC					batch	yes	2	no	3	0	yes	subtype_pairwise_deg	broad GC-vs-TC identity comparison; use cell_type	-	-	-	-
B02_GC_subtypes_pairwise__pGC_vs_eGC	B02_GC_subtypes_pairwise	B02_GC_subtypes_pairwise	B02_GC_subtypes_pairwise	GC 4亚群pairwise(6对)	GC_subcluster	pairwise	subtype_pairwise	whole_layer	cell_level_exploratory	cell_subtype	pGC	eGC					batch	yes	2	no	3	0	yes	subtype_pairwise_deg	GC subtype pairwise identity comparison	-	-	-	-
B02_GC_subtypes_pairwise__pGC_vs_rgGC	B02_GC_subtypes_pairwise	B02_GC_subtypes_pairwise	B02_GC_subtypes_pairwise	GC 4亚群pairwise(6对)	GC_subcluster	pairwise	subtype_pairwise	whole_layer	cell_level_exploratory	cell_subtype	pGC	rgGC					batch	yes	2	no	3	0	yes	subtype_pairwise_deg	GC subtype pairwise identity comparison	-	-	-	-
B02_GC_subtypes_pairwise__pGC_vs_lGC	B02_GC_subtypes_pairwise	B02_GC_subtypes_pairwise	B02_GC_subtypes_pairwise	GC 4亚群pairwise(6对)	GC_subcluster	pairwise	subtype_pairwise	whole_layer	cell_level_exploratory	cell_subtype	pGC	lGC					batch	yes	2	no	3	0	yes	subtype_pairwise_deg	GC subtype pairwise identity comparison	-	-	-	-
