# AUTO-GENERATED. Edit metadata/analysis_questions.tsv instead.
comparison_id	source_question_id	layer_scope	analysis_mode	gene_program_role	preferred_for_downstream	expected_result_level	formal_preferred	nichenet_eligible	enrichment_eligible	notes
A01_panorama_marker__GC_vs_rest	A01_panorama_marker	panorama	subtype_marker	receiver_marker	yes	cell_level_exploratory	no	yes	yes	broad cell-type marker; use cell_type, not cell_subtype
A01_panorama_marker__TC_vs_rest	A01_panorama_marker	panorama	subtype_marker	receiver_marker	yes	cell_level_exploratory	no	yes	yes	broad cell-type marker; use cell_type, not cell_subtype
A02_GC_subtype_marker__pGC_vs_rest	A02_GC_subtype_marker	GC_subcluster	subtype_marker	receiver_marker	yes	cell_level_exploratory	no	yes	yes	GC subtype one-vs-rest marker
A02_GC_subtype_marker__eGC_vs_rest	A02_GC_subtype_marker	GC_subcluster	subtype_marker	receiver_marker	yes	cell_level_exploratory	no	yes	yes	GC subtype one-vs-rest marker
A02_GC_subtype_marker__rgGC_vs_rest	A02_GC_subtype_marker	GC_subcluster	subtype_marker	receiver_marker	yes	cell_level_exploratory	no	yes	yes	GC subtype one-vs-rest marker
A02_GC_subtype_marker__lGC_vs_rest	A02_GC_subtype_marker	GC_subcluster	subtype_marker	receiver_marker	yes	cell_level_exploratory	no	yes	yes	GC subtype one-vs-rest marker
B01_GC_vs_TC__GC_vs_TC	B01_GC_vs_TC	panorama	subtype_pairwise	subtype_pairwise_deg	contextual	cell_level_exploratory	no	no	yes	broad GC-vs-TC identity comparison; use cell_type
B02_GC_subtypes_pairwise__pGC_vs_eGC	B02_GC_subtypes_pairwise	GC_subcluster	subtype_pairwise	subtype_pairwise_deg	contextual	cell_level_exploratory	no	no	yes	GC subtype pairwise identity comparison
B02_GC_subtypes_pairwise__pGC_vs_rgGC	B02_GC_subtypes_pairwise	GC_subcluster	subtype_pairwise	subtype_pairwise_deg	contextual	cell_level_exploratory	no	no	yes	GC subtype pairwise identity comparison
B02_GC_subtypes_pairwise__pGC_vs_lGC	B02_GC_subtypes_pairwise	GC_subcluster	subtype_pairwise	subtype_pairwise_deg	contextual	cell_level_exploratory	no	no	yes	GC subtype pairwise identity comparison
B02_GC_subtypes_pairwise__eGC_vs_rgGC	B02_GC_subtypes_pairwise	GC_subcluster	subtype_pairwise	subtype_pairwise_deg	contextual	cell_level_exploratory	no	no	yes	GC subtype pairwise identity comparison
B02_GC_subtypes_pairwise__eGC_vs_lGC	B02_GC_subtypes_pairwise	GC_subcluster	subtype_pairwise	subtype_pairwise_deg	contextual	cell_level_exploratory	no	no	yes	GC subtype pairwise identity comparison
B02_GC_subtypes_pairwise__rgGC_vs_lGC	B02_GC_subtypes_pairwise	GC_subcluster	subtype_pairwise	subtype_pairwise_deg	contextual	cell_level_exploratory	no	no	yes	GC subtype pairwise identity comparison
C01_GC_vs_TC_in_syf__GC_vs_TC_syf	C01_GC_vs_TC_in_syf	panorama	subtype_pairwise	subtype_pairwise_deg	contextual	cell_level_exploratory	no	no	yes	broad GC-vs-TC identity comparison within syf; use cell_type
C02_GC_vs_TC_in_f5__GC_vs_TC_f5	C02_GC_vs_TC_in_f5	panorama	subtype_pairwise	subtype_pairwise_deg	contextual	cell_level_exploratory	no	no	yes	broad GC-vs-TC identity comparison within f5; use cell_type
C03_GC_subtypes_pairwise_syf__pGC_vs_eGC_syf	C03_GC_subtypes_pairwise_syf	GC_subcluster	subtype_pairwise	subtype_pairwise_deg	contextual	cell_level_exploratory	no	no	yes	GC subtype pairwise within syf
C03_GC_subtypes_pairwise_syf__pGC_vs_rgGC_syf	C03_GC_subtypes_pairwise_syf	GC_subcluster	subtype_pairwise	subtype_pairwise_deg	contextual	cell_level_exploratory	no	no	yes	GC subtype pairwise within syf
C03_GC_subtypes_pairwise_syf__pGC_vs_lGC_syf	C03_GC_subtypes_pairwise_syf	GC_subcluster	subtype_pairwise	subtype_pairwise_deg	contextual	cell_level_exploratory	no	no	yes	GC subtype pairwise within syf
C03_GC_subtypes_pairwise_syf__eGC_vs_rgGC_syf	C03_GC_subtypes_pairwise_syf	GC_subcluster	subtype_pairwise	subtype_pairwise_deg	contextual	cell_level_exploratory	no	no	yes	GC subtype pairwise within syf
C03_GC_subtypes_pairwise_syf__eGC_vs_lGC_syf	C03_GC_subtypes_pairwise_syf	GC_subcluster	subtype_pairwise	subtype_pairwise_deg	contextual	cell_level_exploratory	no	no	yes	GC subtype pairwise within syf
C03_GC_subtypes_pairwise_syf__rgGC_vs_lGC_syf	C03_GC_subtypes_pairwise_syf	GC_subcluster	subtype_pairwise	subtype_pairwise_deg	contextual	cell_level_exploratory	no	no	yes	GC subtype pairwise within syf
C04_GC_subtypes_pairwise_f5__pGC_vs_eGC_f5	C04_GC_subtypes_pairwise_f5	GC_subcluster	subtype_pairwise	subtype_pairwise_deg	contextual	cell_level_exploratory	no	no	yes	GC subtype pairwise within f5
C04_GC_subtypes_pairwise_f5__pGC_vs_rgGC_f5	C04_GC_subtypes_pairwise_f5	GC_subcluster	subtype_pairwise	subtype_pairwise_deg	contextual	cell_level_exploratory	no	no	yes	GC subtype pairwise within f5
C04_GC_subtypes_pairwise_f5__pGC_vs_lGC_f5	C04_GC_subtypes_pairwise_f5	GC_subcluster	subtype_pairwise	subtype_pairwise_deg	contextual	cell_level_exploratory	no	no	yes	GC subtype pairwise within f5
C04_GC_subtypes_pairwise_f5__eGC_vs_rgGC_f5	C04_GC_subtypes_pairwise_f5	GC_subcluster	subtype_pairwise	subtype_pairwise_deg	contextual	cell_level_exploratory	no	no	yes	GC subtype pairwise within f5
C04_GC_subtypes_pairwise_f5__eGC_vs_lGC_f5	C04_GC_subtypes_pairwise_f5	GC_subcluster	subtype_pairwise	subtype_pairwise_deg	contextual	cell_level_exploratory	no	no	yes	GC subtype pairwise within f5
C04_GC_subtypes_pairwise_f5__rgGC_vs_lGC_f5	C04_GC_subtypes_pairwise_f5	GC_subcluster	subtype_pairwise	subtype_pairwise_deg	contextual	cell_level_exploratory	no	no	yes	GC subtype pairwise within f5
D01_GC_stage_DEG__GC_syf_vs_f5	D01_GC_stage_DEG	panorama	condition_within_type	condition_deg	yes	pseudobulk_formal_or_exploratory_fallback	yes	yes	yes	formal DEG priority; GC cells only
D02_TC_stage_DEG__TC_syf_vs_f5	D02_TC_stage_DEG	panorama	condition_within_type	condition_deg	yes	pseudobulk_formal_or_exploratory_fallback	yes	yes	yes	formal DEG priority; TC cells only
D03_GC_subtype_stage_DEG__pGC_syf_vs_f5	D03_GC_subtype_stage_DEG	GC_subcluster	condition_within_type	condition_deg	yes	pseudobulk_formal_or_exploratory_fallback	yes	yes	yes	formal DEG priority; pGC only
D03_GC_subtype_stage_DEG__eGC_syf_vs_f5	D03_GC_subtype_stage_DEG	GC_subcluster	condition_within_type	condition_deg	yes	pseudobulk_formal_or_exploratory_fallback	yes	yes	yes	formal DEG priority; eGC only
D03_GC_subtype_stage_DEG__rgGC_syf_vs_f5	D03_GC_subtype_stage_DEG	GC_subcluster	condition_within_type	condition_deg	yes	pseudobulk_formal_or_exploratory_fallback	yes	yes	yes	formal DEG priority; rgGC only
D03_GC_subtype_stage_DEG__lGC_syf_vs_f5	D03_GC_subtype_stage_DEG	GC_subcluster	condition_within_type	condition_deg	yes	pseudobulk_formal_or_exploratory_fallback	yes	yes	yes	formal DEG priority; lGC only
D05_panorama_global_stage__all_cells_syf_vs_f5	D05_panorama_global_stage	panorama	condition_within_type	condition_deg	yes	pseudobulk_formal_or_exploratory_fallback	yes	yes	yes	global stage signature across all cells
