chicken_symbol	human_symbol	source	confidence	notes
WNT5A	WNT5A	manual_seed	high	communication smoke seed
WNT5B	WNT5B	manual_seed	high	communication smoke seed
FZD3	FZD3	manual_seed	high	communication smoke seed
LRP6	LRP6	manual_seed	high	communication smoke seed
TGFB1	TGFB1	manual_seed	high	communication smoke seed
TGFBR1	TGFBR1	manual_seed	high	communication smoke seed
TGFBR2	TGFBR2	manual_seed	high	communication smoke seed
BMP2	BMP2	manual_seed	high	communication smoke seed
BMPR1A	BMPR1A	manual_seed	high	communication smoke seed
BMPR2	BMPR2	manual_seed	high	communication smoke seed
